GrouP28,,,,,
P1,P2,P3,P4,P5,PC
,,,98.07,71.35,79
,,,97.93,71.33,79
,,,97.97,71.3,79
,,,98.02,71.42,79
,,,97.99,71.59,79
,,,98.04,71.64,79
,,,97.98,71.66,79
,,,98,71.89,79
,,,97.96,71.88,79
,,,98.02,72.11,79
,,,98,72.52,79
,,,98.03,72.86,79
,,,97.94,72.76,79
,,,97.99,72.53,79
,,,97.98,72.55,79
,,,97.95,72.28,79
,,,98.03,72.57,79
,,,98.03,72.57,79
,,,98.03,72.15,79
,,,98.02,71.6,79
,,,97.98,71.26,79
,,,97.98,71.33,79
,,,97.96,70.96,79
,,,97.99,70.96,79
,,,97.95,70.82,79
,,,98.03,70.61,79
,,,97.97,70.5,79
,105.41,,98.1,70.82,79
,105.69,,97.97,71.26,79
,105.44,,97.97,71.15,79
,105.34,,97.93,71.03,79
,105.16,,98.04,71.4,79
,105.02,,98.07,71.2,79
,,,98.1,71.16,79
,,,97.94,71.12,79
,,,97.97,70.98,79
,,,98.02,71.34,79
,,,98.01,71.3,79
,,,98.04,71.12,79
,,,97.91,70.86,79
,,,97.96,70.57,79
,,,97.96,70.71,79
,,,98.03,70.72,79
,,,98.06,70.79,79
,,,97.91,70.65,79
,,,98.02,70.32,79
,,,98.01,70.3,79
,,,97.99,70,79
,,,98.02,69.68,79
,,,97.98,69.67,79
,,,98.02,69.71,79
,,,97.95,69.6,79
,,,98.02,69.19,79
,,,98.01,69.22,79
,,,98.08,69.07,79
,,,97.97,68.91,79
,,,97.95,68.63,79
,105.06,,98.02,68.34,79
,105.06,,98.01,68.21,79
,,,98.02,67.88,79
,,,97.95,67.92,79
,,,98.01,67.65,79
,,,97.99,67.44,79
,,,97.99,67.37,79
,,,98,67.13,79
,,,98.02,66.58,79
,,,97.98,66.43,79
,,,97.99,66.35,79
,,,97.99,66.35,79
,,,97.99,66.2,79
,,,97.99,66.17,79
,,,97.93,66.19,79
,,,97.98,65.92,79
,,,98.04,65.91,79
,,,98.03,65.74,79
,,,98.03,65.63,79
,,,98.01,65.61,79
,,,98.02,65.4,79
